we have current car position x, y, z, current car velocity x, y, z, next waypoint position x, y, z,
next waypoint direction relative to the current position of the car x, y, z, steering, and throttle
px, py, pz, vx, vy, vz, wpx, wpy, wpz, wvx, wvy, wvz, steering, throttle
8.68398380279541, -0.006293086800724268, 53.25206756591797, -0.005046003061503157, -0.006293086800724268, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.005855979863554239, -5.189952850341797, 0.00103402643077931, 1.0
8.68398380279541, -0.006293086800724268, 53.25206756591797, -0.005046003061503157, -0.006293086800724268, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.005855979863554239, -5.189952850341797, 0.00103402643077931, 1.0
8.68398380279541, -0.006293086800724268, 53.25206756591797, -0.005046003061503157, -0.006293086800724268, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.005855979863554239, -5.189952850341797, 0.00103402643077931, 1.0
8.68398380279541, -0.006293086800724268, 53.25206756591797, -0.005046003061503157, -0.006293086800724268, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.005855979863554239, -5.189952850341797, 0.00103402643077931, 1.0
8.68398380279541, -0.0067193410359323025, 53.2520751953125, -0.005046003061503157, -0.0067193410359323025, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.005429725628346205, -5.189960479736328, 0.004521470048150696, 1.0
8.68398380279541, -0.006553554441779852, 53.2520751953125, -0.005046003061503157, -0.006553554441779852, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.005595512222498655, -5.189960479736328, -0.0002208644587323612, 1.0
8.68398380279541, -0.006237735506147146, 53.2520751953125, -0.005046003061503157, -0.006237735506147146, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.005911331158131361, -5.189960479736328, -0.0014876822948360863, 1.0
8.68398380279541, -0.006237735506147146, 53.2520751953125, -0.005046003061503157, -0.006237735506147146, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.005911331158131361, -5.189960479736328, 0.0010208381014208058, 1.0
8.68398380279541, -0.005960674025118351, 53.2520751953125, -0.005046003061503157, -0.005960674025118351, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.006188392639160156, -5.189960479736328, -0.0012455246008752454, 1.0
8.68398380279541, -0.005874576512724161, 53.2520751953125, -0.005046003061503157, -0.005874576512724161, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.006274490151554346, -5.189960479736328, 0.0002506241553859968, 1.0
8.68398380279541, -0.005743503570556641, 53.252079010009766, -0.005046003061503157, -0.005743503570556641, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.006405563093721867, -5.189964294433594, -0.0001376627983893481, 1.0
8.68398380279541, -0.005743503570556641, 53.252079010009766, -0.005046003061503157, -0.005743503570556641, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.006405563093721867, -5.189964294433594, 0.0009030940536031763, 1.0
8.68398380279541, -0.00563467014580965, 53.252079010009766, -0.005046003061503157, -0.00563467014580965, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.006514396518468857, -5.189964294433594, 1.3070764114867309e-05, 1.0
8.68398380279541, -0.005558261647820473, 53.252079010009766, -0.005046003061503157, -0.005558261647820473, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.0065908050164580345, -5.189964294433594, 0.0002523590956045979, 1.0
8.68398380279541, -0.005558261647820473, 53.252079010009766, -0.005046003061503157, -0.005558261647820473, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.0065908050164580345, -5.189964294433594, 0.0008589726388734134, 1.0
8.68398380279541, -0.00553411478176713, 53.252079010009766, -0.005046003061503157, -0.00553411478176713, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.006614951882511377, -5.189964294433594, 0.0006615257144192981, 1.0
8.68398380279541, -0.005505962297320366, 53.252079010009766, -0.005046003061503157, -0.005505962297320366, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.006643104366958141, -5.189964294433594, 0.0006230263853165048, 1.0
8.68398380279541, -0.005481739062815905, 53.252079010009766, -0.005046003061503157, -0.005481739062815905, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.006667327601462603, -5.189964294433594, 0.0006484546437970553, 1.0
8.68398380279541, -0.005464420188218355, 53.252079010009766, -0.005046003061503157, -0.005464420188218355, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.006684646476060152, -5.189964294433594, 0.0006991422821939083, 1.0
8.68398380279541, -0.005464420188218355, 53.252079010009766, -0.005046003061503157, -0.005464420188218355, -0.9999872688455085, 8.659026145935059, -0.012149066664278507, 48.06211471557617, -0.024957656860351562, -0.006684646476060152, -5.189964294433594, 0.000836623785306708, 1.0
